latitude,longitude,nome,tipo
39.099514,-8.793532,Reguengo - Vale Da Pedra - Pontével,halt
39.769624,-7.591215,Retaxo,halt
40.130683,-8.745354,Reveles,halt
39.432196,-8.504549,Riachos - Torres Novas - Golegã,station
41.140958,-8.609503,Ribeira,halt
40.960961,-8.571209,Rio Meão,halt
41.184539,-8.557154,Rio Tinto,halt
40.507009,-7.090714,Rochoso,halt
38.745686,-9.135507,Roma-Areeiro,station
38.716627,-9.132357,Rua Dos Lagares,halt
41.497637,-8.496284,Ruilhe,station
39.07297,-9.209854,Runa,halt
41.158567,-7.783632,Régua,station
39.655125,-7.67283,Ródão,station
40.511559,-7.238902,Sabugal,halt
38.830557,-9.300013,Sabugo,station
38.79497,-9.099799,Sacavém,halt
41.169298,-8.598662,Salgueiros,station
39.492421,-9.147284,Salir Do Porto,halt
40.728861,-8.564873,Salreu,halt
40.98406,-8.593315,Sampaio - Oleiros,halt
40.926667,-8.530958,Sanfins,halt
38.71369,-9.122454,Santa Apolónia,station
39.552748,-8.393434,Santa Cita,station
37.4958,-8.481383,Santa Clara - Sabóia,station
40.390501,-8.124393,Santa Comba Dão,station
39.006055,-7.253388,Santa Eulália-A,halt
38.841038,-9.080111,Santa Iria,halt
39.447545,-8.296466,Santa Margarida,station
39.144162,-8.7589,Santana-Cartaxo,halt
39.242123,-8.675086,Santarém,station
40.851316,-8.489591,Santiago De Riba-Ul,halt
38.648528,-9.153127,Santo Amaro,station
41.115502,-8.606615,Santo Ovídio,station
41.35107,-8.47341,Santo Tirso,station
41.554905,-8.377938,Santuário,halt
38.968916,-9.199322,Sapataria,halt
39.756386,-7.62378,Sarnadas,station
41.89651,-8.81924,Seixas,halt
39.67844,-8.507983,Seiça - Ourém,halt
41.188188,-8.685203,Senhor De Matosinhos,station
41.869478,-8.843515,Senhora Da Agonia,halt
41.188079,-8.654493,Senhora Da Hora,station
41.646643,-8.72098,Senhora Das Neves,halt
40.672163,-8.452722,Sernada Do Vouga,station
38.74024,-9.166666,Sete Rios,station
39.113589,-8.777857,Setil,station
38.531203,-8.884547,Setúbal,station
41.566038,-8.627781,Silva,halt
40.990344,-8.640736,Silvalde,halt
40.988821,-8.630346,Silvalde - Vouga,halt
37.175666,-8.440465,Silves,station
40.010899,-8.633538,Simões,halt
38.799261,-9.385358,Sintra,station
